id_localidad;tipo_propiedad;nombre_conjunto;direccion
3;Agrupación de Vivienda;MULTIFAMILIARES CALLE 20;CL20#2A-26
8;Conjunto Residencial;PRADOS DE IPANEMA PH;CL2#93D-45
11;Conjunto Residencial;PROVENZA CAMPESTRE FASE 1;KR58#119A-98
2;Agrupación de Vivienda;EDIFICIO AVENIDA 39 PH;DG39#13-21
13;Conjunto Residencial;PARQUE DE CADIZ;KR44B#22-65
1;Edificio;LE BOULEVARD;CL104#15-20
3;Edificio;CALLE REAL;KR7#16-56
9;Conjunto Residencial;LA CUADRA;CL16H#96G-57
3;Edificio;EDIFICIO COSMOS;KR10#11-23
2;Edificio;DEL CERRO;TV1#83-33
1;Edificio;BARRANCAS;CL159#8F-81
2;Edificio;EL REFUGIO;TV2#86-36
8;Conjunto Residencial;CASTILLA CENTRAL;CL10B#81F-70
1;Edificio;JARALITO PROPIEDAD HORIZONTAL;CL186#7-41
12;Edificio;ANA VIRGINIA II;CL63#24-44
11;Conjunto Residencial;PARQUE CENTRAL PONTEVEDRA SEGUNDA ETAPA;CL95#71-31
1;Edificio Residencial;EL PARQUE;CL128#7B-18
1;Conjunto Residencial;145 PARKVIEW;CL145#9-55
1;Edificio Multifamiliar;ARISTOS;TV13A#119-68
13;Edificio;TERRAZINO PROPIEDAD HORIZONTAL;CL43#14-40
1;Edificio;VILLA DEL ROSARIO;CL146#13-94
13;Conjunto Multifamiliar;LUIS ALBERTO VILLEGAS;CL62#35A-25
1;Edificio;FRANCICENTRO PROPIEDAD HORIZONTAL;KR15#104-76
11;Conjunto Residencial;ARBOLEDA DE GRATAMIRA PH;CL138#74-51
10;Edificio;NEPTUNO PH;CL62Bis#70-71
8;Conjunto Residencial;BRISAS DE CASTILLA PROPIEDAD HORIZONTAL;CL10A#81D-15
11;Conjunto Residencial;PORTAL DE HATO CHICO;DG146#128-70
3;Edificio;EDIFICIO SOTOMAYOR;AC13#5-30AD
1;Edificio;JAGAI;CL145#13-61
11;Edificio;COLINA CAMPESTRE 3;CL136A#58C-23
1;Multifamiliar;NOVA;CL145A#17-39
1;Proyecto;PRADO VERDE PROPIEDAD HORIZONTAL;CL167D#8-58
11;Urbanización;MAZUREN MANZANA 14;KR56#151-52
1;Edificio;MARIA JULIANA II PROPIEDAD HORIZONTAL;KR8#127B-05
11;Edificio;GUADALCAZAR II;TV55#108-35
1;Agrupación de Vivienda;BOSQUES DEL MARQUES ETAPA I;CL138Bis#6-93
1;Edificios Multifamiliares;EL REMANSO DE LOS MOLINOS;CL104#13A-53
1;Conjunto Residencial;DARDANELOS;KR15#161A-48
2;Multifamiliar;TERRANOVA;KR16A#86A-64
2;Edificio;VICTORIA PARQUE GRANADA;CL66Bis#2B-41
1;Conjunto Residencial;BELLA SUIZA;CL129#7B-46
1;Edificio;LAURELES RESERVADO PROPIEDAD H;CL144#11-10
11;Conjunto Residencial;ARBOLEDA DE SOTILEZA;CL128B#60-57
1;Edificio;VILLAGGIO;KR14#117-65
1;Apartamentos;EDIFICIO DAIQUIRI;CL145#7F-54
11;Conjunto Residencial;PLAZA DE SAN JOAQUIN;KR53A#127-70
1;Edificio;DANIELA III PROPIEDAD HORIZONTAL;KR13#149A-92
1;Edificio;CERVANTES TRES;KR19A#125-45
1;Edificio;EKHO SANTABARBARA;CL124A#19-46
1;Edificio;TORREALABARDA;CL161A#16C-34
1;Edificio;MONTELOMA III Y IV;CL140#6-10
9;Edificio;SKIROS;CL18#96C-56EDskirosAD1
2;Edificio;TORREAL;KR17#93-82
2;Edificio;CENTRO EIFFEL;KR11#94A-17
1;Conjunto Residencial;ABEDULES DE SANTA FE;KR20#185-58AD
1;Edificio;LAYA 119;KR13#119-71
9;Conjunto Residencial;EDIFICIO MIRADOR DE MODELIA;CL22F#86-95
10;Urbanización;SANTA CECILIA SEGUNDA ETAPA ANILLO F 9;CL55#80-22
3;Edificio Residencial;HERRERA DE LA TORRE PROPIEDAD HORIZONTAL;KR5#26-26
11;Agrupación de Vivienda Multifamiliar;PRADO VERANIEGO;KR54B#128-39
13;Edificio;RAMIREZ DIAZ;CL39A#22-10
9;Conjunto Residencial;PUEBLO NUEVO ETAPA II;KR99Bis#14-61
10;Agrupación de Vivienda;LOS RAQUES;KR111C#88-05
1;Edificio;MIRADOR DEL PARQUE;KR17#136-53
3;Edificio;TORRE BICENTENARIO PH;KR4#16-15AD
1;Edificio;ALTOS DE ROSA BLANCA;CL144#16-40
1;Edificio Residencial;BELLA SUIZA RESERVADO;CL129#7-32
9;Agrupación de Vivienda;AVENIDAELCENTENARIO III ETAPA LOTE1;DG16B#106-40
1;Edificio;MARGONVIYA III;CL105A#14-30
9;Conjunto Residencial;MIRADOR DE LOS HAYUELOS ETAPA I;DG17B#88-77
1;Edificio Residencial;LA PALMA;CL103A#17-19
13;Edificio;RINCON DE PALERMO 25 PH;KR25#45C-35
1;Edificio Multifamiliar;HABITAT PLAZA;KR17#135-81
11;Conjunto Casas;OCALES;TV80#137A-75
11;Edificio;RESERVA DE LA COLINA II TORRE 2;KR57#148-15
1;Conjunto Residencial;TIHUANACO;CL144#12-27
1;Edificio;SANTA VERONICA;CL145#15-22
1;Edificio;CAOBOS RESERVADO PH;KR7C#146-45
9;Conjunto Residencial;KYOTO TORRE 2;CL23C#72B-51
11;Conjunto Residencial;PORTAL DE PONTEVEDRA ETAPAS I Y II;CL97#70C-69AD
13;Edificio;CANTAGALLO;KR18#35-30
3;Edificio;ARTURO GARCIA;AC13#10-34
1;Edificio;ALBORADA PROPIEDAD HORIZONTAL;CL107#20-15
11;Conjunto Residencial;MATISSE;CL160#64-11
1;Edificio;ANDANTE PH;KR17#113-53
11;Conjunto Residencial;HACIENDA RESERVADA;KR54D#134-51
11;Edificio;PARQUE PASADENA;KR51#106-93
11;Edificio Residencial;BEAMONTE;CL137#55A-65
1;Edificio;VAMI II;KR9A#117A-21
1;Edificio;CONDOMINIO NAVARRA;KR21#107-22
